Year,Month,MonthName,YearMonth,Total_Revenue,Total_Quantity,Unique_Orders,Unique_Customers
2011,1,January,2011-01,691364.56,387785,1086,741
2011,2,February,2011-02,523631.89,283555,1100,758
2011,3,March,2011-03,717639.36,377526,1454,974
2011,4,April,2011-04,537808.621,308815,1246,856
2011,5,May,2011-05,770536.02,395738,1681,1056
2011,6,June,2011-06,761739.9,389213,1533,991
2011,7,July,2011-07,719221.191,401759,1475,949
2011,8,August,2011-08,759138.38,421770,1361,935
2011,9,September,2011-09,1058590.172,570820,1837,1266
2011,10,October,2011-10,1154979.3,623401,2040,1364
2011,11,November,2011-11,1509496.33,754507,2769,1664
2011,12,December,2011-12,638792.68,314248,819,615
